Depth,GROUP,FORMATION,CALI,RMED,RDEP,RHOB,GR,BS,FORCE_2020_LITHOFACIES_LITHOLOGY
1198.937901,HORDALAND GP.,Skade Fm.,19.92948914,0.656544685,1.113388538,1.692635775,46.34746933,17.5,65000
1199.241901,HORDALAND GP.,Skade Fm.,19.60531426,0.710543156,1.251635909,1.673091292,45.30879211,17.5,65030
1199.545901,HORDALAND GP.,Skade Fm.,19.87290573,0.734289885,1.380393982,1.685285807,45.07812119,17.5,65030
1199.849901,HORDALAND GP.,Skade Fm.,20.62346268,0.712410212,1.437836886,1.682393789,46.18577957,17.5,65030
1200.153901,HORDALAND GP.,Skade Fm.,20.88694191,0.718839049,1.477726102,1.670064449,46.44554901,17.5,65030
1200.457901,HORDALAND GP.,Skade Fm.,21.37381554,0.736324966,1.529293776,1.688026071,46.52673721,13.97286606,65030
1200.761901,HORDALAND GP.,Skade Fm.,21.56225014,0.774651051,1.613883734,1.702905059,45.35044861,12.25000095,65030
1201.065901,HORDALAND GP.,Skade Fm.,21.3128624,0.839623869,1.731263518,1.690014005,42.84549332,12.25000095,65030
1201.369901,HORDALAND GP.,Skade Fm.,21.08006859,0.893972576,1.857797504,1.698182702,44.20650864,12.25000095,65030
1201.673901,HORDALAND GP.,Skade Fm.,21.27241898,0.936317623,1.985430121,1.73353982,46.77379608,12.25000095,65030
1201.977901,HORDALAND GP.,Skade Fm.,21.32030106,0.91862911,1.958846808,1.759729385,47.4948616,12.25000095,65030
1202.281901,HORDALAND GP.,Skade Fm.,21.1078186,0.829221487,1.776345134,1.759114981,47.00133896,12.25000095,65030
1202.585901,HORDALAND GP.,Skade Fm.,21.08518982,0.773176611,1.62263298,1.716810346,46.97206497,12.25000095,65030
1202.889901,HORDALAND GP.,Skade Fm.,21.34924126,0.792238116,1.533352613,1.691470504,45.90419006,12.25000095,65030
1203.193901,HORDALAND GP.,Skade Fm.,21.5876503,0.818390787,1.463423014,1.697716832,45.65512085,12.25000095,65030
1203.497901,HORDALAND GP.,Skade Fm.,21.67832184,0.822812975,1.469705224,1.696634293,48.81670761,12.25000095,65030
1203.801901,HORDALAND GP.,Skade Fm.,21.69827271,0.831021845,1.524804711,1.68281436,49.28156281,12.25000095,65030
1204.105901,HORDALAND GP.,Skade Fm.,21.66533661,0.825005949,1.525278211,1.694697022,48.24755096,12.25000095,65030
1204.409901,HORDALAND GP.,Skade Fm.,21.58024406,0.828095436,1.472628117,1.715847373,48.29304504,12.25000095,65030
1204.713901,HORDALAND GP.,Skade Fm.,21.51917076,0.850848854,1.43392086,1.726503849,47.80583954,12.25000095,65030
1205.017901,HORDALAND GP.,Skade Fm.,21.47294045,0.892063379,1.452389598,1.74483335,45.40060425,12.25000095,65030
1205.321901,HORDALAND GP.,Skade Fm.,21.36975098,0.970123231,1.507322073,1.772117019,44.44683075,12.25000095,65030
1205.625901,HORDALAND GP.,Skade Fm.,21.17013931,1.01992476,1.533752322,1.778370261,45.41839218,12.25000095,65030
1205.929901,HORDALAND GP.,Skade Fm.,20.85074616,1.028100967,1.556657553,1.769137502,46.82600784,12.25000095,65030
1206.233901,HORDALAND GP.,Skade Fm.,20.60370064,1.07568562,1.648777604,1.756435514,46.92209625,12.25000095,65030
1206.537901,HORDALAND GP.,Skade Fm.,20.60029984,1.132339001,1.754106641,1.752750278,45.10260773,12.25000095,65030
1206.841901,HORDALAND GP.,Skade Fm.,20.82232475,1.139276981,1.749544501,1.742942929,44.83255386,12.25000095,65030
1207.145901,HORDALAND GP.,Skade Fm.,20.84490395,1.033781052,1.668482423,1.741946936,45.89495468,12.25000095,65030
1207.449901,HORDALAND GP.,Skade Fm.,20.64016724,0.880643785,1.599735618,1.724323392,46.15227127,12.25000095,65030
1207.753901,HORDALAND GP.,Skade Fm.,20.61573601,0.79386729,1.513468981,1.672844887,44.36091995,12.25000095,65030
1208.057901,HORDALAND GP.,Skade Fm.,20.42109108,0.749615848,1.375249982,1.643863082,43.2041359,12.25000095,65030
1208.361901,HORDALAND GP.,Skade Fm.,20.80738449,0.714444876,1.238196969,1.610055089,44.33348084,12.25000095,65030
1208.665901,HORDALAND GP.,Skade Fm.,21.53293991,0.702253282,1.193839192,1.566839933,45.28298569,12.25000095,65030
1208.969901,HORDALAND GP.,Skade Fm.,21.77500916,0.730370522,1.238408208,1.571045637,43.1920929,12.25000095,65030
