Depth,PHIND_real,PHIND_pre
2573.5,9.95,13.75426000000002
2574.0,13.05,14.071609999999986
2574.5,14.5,14.399830000000001
2575.0,16.05,15.677289999999992
2575.5,15.9,15.84751000000001
2576.0,14.9,15.531900000000016
2576.5,14.35,15.171219999999987
2577.0,14.7,14.32610000000002
2577.5,15.15,15.245300000000016
2578.0,15.1,14.722249999999985
2578.5,14.75,14.573429999999998
2579.0,14.4,14.495680000000004
2579.5,13.95,14.289250000000015
2580.0,13.65,13.816750000000011
2580.5,13.3,13.579749999999985
2581.0,13.05,13.235109999999985
2581.5,12.75,13.34519
2582.0,12.6,13.376379999999994
2582.5,12.3,13.44452999999998
2583.0,12.3,13.32708999999998
2583.5,12.8,14.354949999999985
2584.0,13.4,14.453200000000013
2584.5,13.8,14.011859999999986
2585.0,13.55,14.119429999999983
2585.5,12.9,13.480570000000007
2586.0,12.25,14.399000000000001
2586.5,11.8,12.731919999999981
2587.0,12.3,13.600719999999981
2587.5,13.0,14.346059999999998
2588.0,14.25,15.101949999999999
2588.5,15.75,19.590260000000008
2589.0,16.95,17.41053000000002
2589.5,17.8,18.767049999999983
2590.0,17.2,17.592190000000016
2590.5,16.6,17.03342999999999
2591.0,16.7,17.111500000000007
2591.5,17.35,17.39704999999999
2592.0,18.6,18.358499999999975
2592.5,19.6,19.426389999999973
2593.0,20.1,19.85584999999997
2593.5,20.25,20.152380000000008
2594.0,19.9,19.81572000000003
2594.5,19.95,19.999880000000026
2595.0,20.1,20.15508999999998
2595.5,20.25,20.239000000000004
2596.0,20.45,20.438000000000027
2596.5,20.65,20.571000000000026
2597.0,20.5,20.436090000000007
2597.5,20.45,20.292090000000023
2598.0,20.2,19.87800000000003
2598.5,20.1,19.59777999999998
2599.0,19.55,18.783149999999974
2599.5,18.3,18.350909999999978
2600.0,17.05,18.644659999999977
2600.5,16.7,17.389250000000015
2601.0,17.9,17.72244000000003
2601.5,17.2,17.118410000000022
2602.0,15.75,16.15273
2602.5,15.35,16.17447999999999
2603.0,15.4,15.359400000000011
2603.5,15.9,16.55957000000002
2604.0,16.25,16.32046
2604.5,16.15,15.503520000000016
2605.0,16.2,16.67692000000002
2605.5,18.3,17.327859999999983
2606.0,23.5,20.52514
2606.5,25.9,22.430980000000023
2607.0,24.8,21.655719999999985
2607.5,15.6,17.204509999999974
2608.0,13.25,14.038759999999998
2608.5,16.05,16.134659999999986
2609.0,19.75,20.489500000000003
2609.5,20.95,18.569960000000027
2610.0,18.8,17.248289999999976
2610.5,13.3,11.28734999999999
2610.5,11.75,12.132909999999999
2611.0,13.1,12.582869999999996
2611.0,10.2,9.871090000000013
2611.5,8.75,8.98397
2611.5,12.55,12.42179999999998
