Depth,GR_real,GR_pre
2573.5,118.439,118.33781000000012
2574.0,92.55,92.58026000000004
2574.5,102.16799999999999,102.17374999999991
2575.0,88.898,88.90678000000004
2575.5,85.493,85.49100000000007
2576.0,82.802,82.79825999999994
2576.5,84.257,84.25982999999992
2577.0,85.34899999999999,85.35376000000005
2577.5,84.31700000000001,84.32103
2578.0,83.495,83.49658999999996
2578.5,83.696,83.69767999999993
2579.0,82.766,82.77801999999987
2579.5,85.311,85.31402999999995
2580.0,87.29700000000001,87.29036999999995
2580.5,85.494,85.49261999999995
2581.0,82.90700000000001,82.88895000000007
2581.5,84.398,84.41242000000004
2582.0,81.723,81.69682
2582.5,83.501,83.49891000000005
2583.0,88.667,88.66882000000007
2583.5,93.12899999999999,93.12888000000002
2584.0,90.255,90.26228000000005
2584.5,87.152,87.15111000000005
2585.0,76.105,76.10507999999986
2585.5,68.911,68.91287000000005
2586.0,60.968,60.96406999999993
2586.5,58.121,58.114570000000064
2587.0,58.57,58.56721999999999
2587.5,57.287,57.28506000000003
2588.0,60.771,60.77007
2588.5,64.14699999999999,64.14683
2589.0,61.211000000000006,61.20453999999999
2589.5,63.105,63.10292999999991
2590.0,54.482,54.47634
2590.5,57.7,57.67482999999995
2591.0,62.74,62.737459999999885
2591.5,61.915,61.925029999999985
2592.0,60.425,60.429050000000046
2592.5,58.016999999999996,58.015329999999956
2593.0,55.815,55.826739999999965
2593.5,58.413000000000004,58.41765999999995
2594.0,60.306000000000004,60.30709999999993
2594.5,60.198,60.19047999999998
2595.0,56.657,56.65182000000005
2595.5,59.458999999999996,59.451749999999954
2596.0,59.586000000000006,59.59314000000001
2596.5,58.077,58.077050000000106
2597.0,59.244,59.23901999999994
2597.5,60.552,60.55688999999997
2598.0,63.458,63.45296999999991
2598.5,66.977,66.97316999999993
2599.0,74.958,74.94948999999988
2599.5,80.42,80.42784000000007
2600.0,86.667,86.68143000000009
2600.5,92.34299999999999,92.32257000000001
2601.0,79.336,79.33761000000005
2601.5,70.243,70.24797000000011
2602.0,63.513000000000005,63.51193999999995
2602.5,65.541,65.54494000000005
2603.0,66.595,66.60112000000005
2603.5,71.108,71.1203200000001
2604.0,75.609,75.6083500000001
2604.5,81.872,81.88264000000008
2605.0,90.061,90.05399999999992
2605.5,95.985,95.99669999999996
2606.0,97.149,97.17099000000002
2606.5,95.986,95.99711000000003
2607.0,88.553,88.54238999999994
2607.5,86.023,86.06011000000007
2608.0,88.06,88.05346000000013
2608.5,85.898,85.89827000000007
2609.0,79.42699999999999,79.43235999999995
2609.5,64.6,64.60780000000007
2610.0,58.806000000000004,58.81727999999995
2610.5,49.85,49.85613
2610.5,74.9,74.8983399999999
2611.0,83.8,83.79622000000006
2611.0,49.848,49.851529999999975
2611.5,60.413999999999994,60.424559999999964
2611.5,86.97,86.97800000000002
2612.0,73.64699999999999,73.64489999999996
2612.0,84.43,84.42695000000008
2612.5,87.87799999999999,87.86925000000001
2612.5,78.51,78.50776000000013
2613.0,92.819,92.81618000000012
2613.0,73.88,73.87506000000006
2613.5,71.61,71.6020299999999
2613.5,94.398,94.39192999999999
2614.0,69.86,69.85461999999994
2614.0,95.024,95.01697000000001
2614.5,86.084,86.0881
2614.5,69.25,69.25219000000001
2615.0,89.32,89.32853999999989
2615.0,68.29,68.29688000000002
