Depth,PE_real,PE_pre
2573.5,3.6310000000000002,3.6882155833333288
2574.0,3.45,3.2023620281385234
2574.5,3.364,3.473493333333333
2575.0,3.187,3.4158628571428626
2575.5,3.0989999999999998,2.515679999999998
2576.0,3.069,3.2781729285714296
2576.5,3.077,3.0195732485569975
2577.0,3.1010000000000004,3.3463320000000003
2577.5,3.0780000000000003,3.3417342857142835
2578.0,3.062,3.2018191547619086
2578.5,3.074,3.1713400000000043
2579.0,3.114,3.124710202380952
2579.5,3.133,3.3016900000000002
2580.0,3.136,3.2273266666666673
2580.5,3.173,3.19326213888889
2581.0,3.179,3.238752233405482
2581.5,3.1210000000000004,3.042755476190476
2582.0,3.077,3.1832899999999995
2582.5,3.0580000000000003,3.0960727817460296
2583.0,3.0669999999999997,2.9871854166666667
2583.5,3.105,2.934091999999999
2584.0,3.127,3.2578900773809534
2584.5,3.154,3.0271990000000004
2585.0,3.2110000000000003,3.2658408672438726
2585.5,3.281,3.068800000000004
2586.0,3.2510000000000003,3.1871842063492033
2586.5,3.167,3.413633928571426
2587.0,3.159,3.0746866666666666
2587.5,3.1189999999999998,3.1964300000000003
2588.0,3.022,3.651989999999998
2588.5,2.928,2.967829999999999
2589.0,2.892,3.040363000000003
2589.5,2.892,3.066435249999998
2590.0,2.895,3.7457509999999967
2590.5,2.886,2.86548
2591.0,2.8810000000000002,2.880429999999998
2591.5,2.838,3.284210000000002
2592.0,2.7539999999999996,2.9251699999999996
2592.5,2.6860000000000004,2.776100000000001
2593.0,2.617,2.6920599999999975
2593.5,2.574,2.584240000000004
2594.0,2.571,3.0290966666666685
2594.5,2.556,2.7778668333333356
2595.0,2.552,2.6435238333333313
2595.5,2.5140000000000002,2.5330466666666696
2596.0,2.508,2.531686476190477
2596.5,2.516,2.531686476190477
2597.0,2.5810000000000004,2.6435238333333313
2597.5,2.589,2.5927900000000004
2598.0,2.6289999999999996,2.6729699999999976
2598.5,2.694,2.7428199999999983
2599.0,2.702,2.799239999999999
2599.5,2.694,2.954099999999999
2600.0,2.7260000000000004,2.899607333333333
2600.5,2.7689999999999997,2.7732900000000007
2601.0,2.844,3.7211699999999954
2601.5,2.892,2.850730309523809
2602.0,2.8819999999999997,2.819760000000001
2602.5,2.892,2.824405714285715
2603.0,2.912,3.0234500000000004
2603.5,2.835,2.90243
2604.0,2.781,3.816840000000003
2604.5,2.7769999999999997,2.6372699999999973
2605.0,2.8169999999999997,2.824405714285715
2605.5,2.74,2.801590833333336
2606.0,2.635,2.830421904761902
2606.5,2.662,2.8824169165181233
2607.0,2.735,2.928861797619052
2607.5,2.9560000000000004,3.1364740336052837
2608.0,3.158,3.3586914952824944
2608.5,3.0989999999999998,3.2658018333333287
2609.0,3.154,3.3371761507936486
2609.5,3.2769999999999997,3.303906349206344
2610.0,3.5639999999999996,3.438338666666667
2610.5,3.9960000000000004,3.782904715367964
2610.5,4.084,3.931509940476191
2611.0,3.5010000000000003,3.7419805105417456
2611.0,4.547,4.36140412409813
2611.5,4.857,4.451695250000007
2611.5,3.4,3.864090656565655
2612.0,4.925,4.1694100714285725
2612.0,3.4,3.9760363525363527
2612.5,4.86,4.596609000000004
2612.5,3.4,3.9760363525363527
2613.0,4.534,4.406031428571424
2613.0,3.5,3.9760363525363527
2613.5,3.6,3.5291602092352106
2613.5,4.305,4.161627428571432
2614.0,3.7,3.864090656565655
2614.0,4.131,4.140433999999995
2614.5,3.967,4.099045535714286
2614.5,3.7,3.610409828226468
2615.0,3.839,4.033815295815295
2615.0,3.7,3.864090656565655
2615.5,3.7,3.5291602092352106
2615.5,3.898,3.8119570000000045
2616.0,3.9730000000000003,4.0856467460317525
2616.0,3.5,3.4094890346320352
2616.5,3.6830000000000003,3.62017738095238
2616.5,3.3,3.290223208680063
2617.0,3.45,3.5984230952380916
2617.0,3.3,3.254170056199518
2617.5,3.427,3.7411303809523857
2617.5,3.4,3.1881370753429583
2618.0,3.6,3.5849952380952375
2618.0,3.358,3.631621301587303
2618.5,3.4,3.065616269841271
2618.5,3.343,3.728219476190476
2619.0,3.528,4.007650000000006
2619.0,3.0,3.065616269841271
2619.5,3.841,3.8555500000000023
2619.5,2.8,3.065616269841271
2620.0,3.985,4.148067500000005
2620.0,2.6,3.486959866384046
2620.5,2.4,3.1881370753429583
2620.5,4.171,4.270189999999996
2621.0,2.5,3.9120499452206303
2621.0,4.313,4.357429999999997
2621.5,4.365,4.542310000000006
2621.5,2.8,3.1070786075036074
2622.0,3.0,3.1070786075036074
2622.0,4.362,4.365240000000004
2622.5,3.3,3.444260055295582
2622.5,4.305,4.452110000000001
2623.0,3.5,3.1070786075036074
2623.0,4.188,4.3832199999999935
2623.5,4.147,4.260109999999996
2623.5,3.4,3.444260055295582
2624.0,4.128,4.421299999999998
2624.0,3.4,3.254170056199518
2624.5,3.4,3.45631660167585
2624.5,4.203,4.296589999999994
2625.0,4.296,4.269549999999994
2625.0,3.4,3.45631660167585
2625.5,4.436,4.872319999999992
2625.5,3.6,3.254170056199518
2626.0,3.6,3.9120499452206303
2626.0,4.525,4.437742857142854
2626.5,3.5,3.108705492018302
2626.5,4.633,4.592869999999997
2627.0,4.612,4.446170000000002
2627.0,3.3,3.464173928571432
2627.5,3.2,2.7812850000000005
2627.5,4.6,4.602868809523815
2628.0,3.1,3.6885850793650796
2628.0,4.5489999999999995,4.559469999999996
2628.5,3.1,2.9467261904761886
2628.5,4.442,4.588930000000006
2629.0,3.1,3.2569770606060593
2629.0,4.256,4.626346666666662
2629.5,4.001,4.067739999999995
2629.5,3.1,2.894444000000001
2630.0,3.812,3.9753917460317507
2630.0,3.1,3.1332202380952383
2630.5,3.542,3.8200566666666607
2630.5,3.1,2.9808234999999983
2631.0,3.1010000000000004,3.1682257857142857
2631.0,3.1,3.564700640692641
2631.5,3.1,3.444260055295582
2632.0,3.1,3.444260055295582
2632.5,0.99,1.71458
2632.5,3.1,3.9120499452206303
2633.0,0.833,1.9104407857142858
2633.0,3.2,3.1881370753429583
2633.5,0.852,1.9118185000000019
2633.5,3.2,3.486959866384046
2634.0,1.234,2.057149500000001
2634.0,3.2,3.5849952380952375
2634.5,1.787,2.5388890000000037
2634.5,3.2,3.065616269841271
2635.0,3.1,3.188485138472639
2635.0,2.36,2.5764528095238126
2635.5,3.1,3.188485138472639
2635.5,2.806,3.096217932178933
2636.0,3.236,3.529506666666664
2636.0,3.1,3.0331833333333345
2636.5,3.1,3.187355952380953
2636.5,3.542,3.834206907647907
2637.0,3.762,3.815194285714287
2637.0,3.2,3.0950799999999954
2637.5,3.803,4.038289047619046
2637.5,3.4,3.18594
2638.0,3.9,3.401276032668314
2638.0,3.8,3.9593244285714304
2638.5,3.7760000000000002,3.6807313333333376
2638.5,4.4,3.7346184134881715
2639.0,4.8,3.610409828226468
2639.0,3.6889999999999996,3.843262896825399
2639.5,4.9,4.141099935120437
2639.5,3.693,3.6846436190476193
2640.0,4.8,4.194795785714287
2640.0,3.59,3.582922857142854
2640.5,4.6,4.523153881086236
2640.5,3.5980000000000003,3.6466784761904796
2641.0,3.5439999999999996,3.752249715161473
2641.0,4.4,4.523153881086236
2641.5,3.7310000000000003,4.056824761904759
2641.5,3.8,3.931509940476191
2642.0,3.8110000000000004,3.671859999999999
2642.0,3.6,3.7419805105417456
2642.5,3.6,3.610409828226468
2642.5,3.675,3.4617200000000037
2643.0,3.7,3.610409828226468
2643.0,3.533,3.504284761904762
2643.5,3.5639999999999996,3.575529999999999
2643.5,3.8,3.610409828226468
2644.0,3.592,3.8940368809523824
2644.0,3.9,3.7419805105417456
2644.5,3.575,3.507830777777772
2644.5,4.0,4.304480375180376
2645.0,4.1,4.16929420480689
2645.0,3.552,3.5957433174603204
2645.5,3.4819999999999998,3.396014134670888
2645.5,4.1,4.437390840168818
2646.0,3.375,3.336409154761906
2646.0,4.1,4.368197873015872
2646.5,3.292,3.2756661904761866
2646.5,4.1,4.2597052599067595
2647.0,3.2310000000000003,3.2474804047619017
2647.0,4.0,4.3512291847041835
2647.5,3.301,3.4058542857142813
2647.5,4.0,4.523153881086236
2648.0,3.3560000000000003,3.4064305714285688
2648.0,3.9,4.710820165945165
2648.5,3.7,4.141099935120437
2648.5,3.364,3.294559999999998
2649.0,3.7,4.16929420480689
2649.0,3.3110000000000004,3.11295857142857
2649.5,3.6,4.141099935120437
2649.5,3.228,2.971290000000003
2650.0,3.6,4.4639878513708515
2650.0,3.093,3.2243400000000024
2650.5,3.6,4.523153881086236
2650.5,2.925,2.964304254689757
2651.0,3.8,4.200700493731758
2651.0,2.785,2.968422
2651.5,4.4,4.45205487012987
2651.5,2.7230000000000003,3.040363000000003
2652.0,5.0,3.9818501031746028
2652.0,2.697,2.7265900000000016
2652.5,2.653,2.8797199999999994
2652.5,5.0,4.368197873015872
2653.0,2.6510000000000002,2.9386100000000024
2653.0,4.8,4.3512291847041835
2653.5,4.6,4.710820165945165
2653.5,2.657,2.7480575000000003
2654.0,2.67,2.6877299999999966
2654.0,4.3,4.304480375180376
2654.5,2.648,2.9546700000000015
2654.5,4.1,3.5291602092352106
2655.0,2.676,2.6754999999999978
2655.0,3.9,3.358664206022737
2655.5,3.8,3.0961185645743154
2655.5,2.674,2.669850000000001
2656.0,3.8,3.6670370350760355
2656.0,2.681,2.6774000000000004
2656.5,3.7,3.3722988554560165
2656.5,2.74,3.2630700000000044
2657.0,3.7,3.45161988220447
2657.0,2.762,2.7480575000000003
2657.5,2.7760000000000002,2.801580000000003
2657.5,3.6,3.45161988220447
2658.0,2.7769999999999997,3.5804359999999944
2658.0,3.6,3.45161988220447
2658.5,2.773,2.9903700000000004
2658.5,3.4,3.433724245645173
2659.0,2.59,2.675500000000001
2659.0,3.3,3.433724245645173
2659.5,2.293,2.5066300000000026
2659.5,3.4,3.5692193077763914
2660.0,2.28,2.512531738095238
2660.0,3.5,3.358664206022737
2660.5,2.339,2.5385396825396818
2660.5,3.6,4.404754225774226
2661.0,3.7,4.374418743145742
2661.0,2.43,2.7020980555555587
2661.5,2.6639999999999997,2.7336413174603122
2661.5,3.8,4.54055968109668
2662.0,3.8,4.16929420480689
2662.0,2.6639999999999997,2.7336413174603122
2662.5,3.032,3.2733220952380977
2662.5,3.8,4.304480375180376
2663.0,3.8,3.358664206022737
2663.0,3.0980000000000003,3.1814752564102604
2663.5,3.1510000000000002,3.1699121608946643
2663.5,3.6,3.433724245645173
2664.0,3.15,3.454461722121014
2664.0,3.3,3.5647175048285042
2664.5,3.2,3.1394719852092363
2664.5,3.2310000000000003,3.397438799783546
2665.0,3.302,3.4245540000000023
2665.0,2.5,3.4786654177908436
2665.5,2.8,2.855692095238095
2665.5,3.384,3.433994722222219
2666.0,3.1,4.03534761904762
2666.0,3.406,3.1556463333333364
2666.5,3.3,3.7107438095238092
2666.5,3.4589999999999996,3.8440540000000016
2667.0,3.8,4.04513392857143
2667.0,3.4939999999999998,3.7824021002886057
2667.5,3.9,4.194795785714287
2667.5,3.5869999999999997,3.8234227380952337
2668.0,3.745,3.9845570000000037
2668.0,3.8,4.47227857142857
2668.5,3.8,4.437390840168818
2668.5,3.903,4.027696000000004
2669.0,3.908,3.834206907647907
2669.0,4.0,4.437390840168818
2669.5,3.23,3.574182039682541
2669.5,4.0,4.3512291847041835
2670.0,3.8,4.54055968109668
2670.5,3.6,3.7419805105417456
2671.0,2.242,2.6929424999999974
2671.0,3.2,3.9760363525363527
2671.5,3.1,3.5692193077763914
2672.0,2.479,2.855121916666671
2672.0,3.0,3.45161988220447
2672.5,2.9,3.3722988554560165
2672.5,2.9810000000000003,3.198059416666666
2673.0,3.0989999999999998,3.0545873095238063
2673.0,2.8,3.3722988554560165
2673.5,3.0380000000000003,3.1601200000000036
2673.5,2.7,3.3722988554560165
2674.0,2.6,3.3722988554560165
2674.0,3.029,3.3884078571428544
2674.5,2.6,3.45161988220447
2674.5,3.0789999999999997,3.4631735714285736
2675.0,2.6,3.553234392450687
2675.0,3.138,3.243326666666667
2675.5,2.6,3.108946428571428
2675.5,3.2960000000000003,3.41044173611111
2676.0,2.7,3.4115309523809527
2676.0,3.46,3.510950523809522
2676.5,3.6260000000000003,3.327493721861469
2676.5,2.8,3.610409828226468
2677.0,3.0,3.610409828226468
2677.0,3.7260000000000004,3.674298701982571
2677.5,3.83,3.966931666666667
2677.5,3.1,3.610409828226468
2678.0,3.3,3.5291602092352106
2678.0,3.8560000000000003,3.9779884999999977
2678.5,3.853,4.089521294372298
2678.5,3.6,3.5291602092352106
2679.0,3.875,4.0881170000000004
2679.0,3.7,3.444872519119769
2679.5,3.6,3.6651030696411446
2679.5,3.6919999999999997,4.186240000000002
2680.0,3.6260000000000003,3.826724761904759
2680.0,3.5,3.8541389523809526
2680.5,3.3,2.998379148629149
2680.5,3.605,3.7931333333333344
2681.0,3.0,3.254170056199518
2681.0,3.543,3.621647500000003
2681.5,3.0,3.1881370753429583
2681.5,3.551,3.9049719999999946
2682.0,2.9,2.8010466666666685
2682.0,3.511,3.7567383333333386
2682.5,3.498,3.850972857142855
2682.5,2.9,3.065616269841271
2683.0,3.4730000000000003,3.649843591269847
2683.0,2.8,3.108705492018302
2683.5,2.8,3.1813035714285722
2683.5,3.4789999999999996,3.538522857142857
2684.0,2.9,3.108705492018302
2684.0,3.528,3.711106219336221
2684.5,2.9,3.170128187080894
2684.5,3.5610000000000004,3.449587476190475
2685.0,3.0,3.170128187080894
2685.0,3.6260000000000003,3.5168497088744575
2685.5,3.6519999999999997,3.437631877650122
2685.5,3.1,3.188485138472639
2686.0,3.594,3.520178797480294
2686.0,3.1,3.887725166666669
2686.5,3.2,3.1881370753429583
2686.5,3.367,3.603835666666668
2687.0,3.34,3.393544047619045
2687.0,3.2,3.512150692363194
2687.5,3.315,3.2876014999999983
2687.5,3.3,3.2750002619047627
2688.0,3.404,3.56180992063492
2688.0,3.4,3.5981441015479625
2688.5,3.5,3.23989006935034
2688.5,3.5239999999999996,3.40987
2689.0,3.5780000000000003,3.7133819999999944
2689.0,3.6,3.6412358225108203
2689.5,3.553,3.6620516233766223
2689.5,3.3,3.433724245645173
2690.0,3.4,3.5291602092352106
