Depth,RELPOS_real,RELPOS_pre
2573.5,1.0,0.8382200000000001
2574.0,0.987,0.8615999999999994
2574.5,0.9740000000000001,0.9091199999999998
2575.0,0.961,0.8448399999999995
2575.5,0.9470000000000001,0.8868200000000008
2576.0,0.934,0.8687599999999992
2576.5,0.9209999999999999,0.888960000000001
2577.0,0.9079999999999999,0.9064800000000006
2577.5,0.895,0.8781000000000009
2578.0,0.882,0.8811300000000007
2578.5,0.868,0.8722099999999996
2579.0,0.855,0.8475899999999998
2579.5,0.8420000000000001,0.8483199999999992
2580.0,0.8290000000000001,0.842799999999999
2580.5,0.816,0.7553500000000006
2581.0,0.8029999999999999,0.7365599999999992
2581.5,0.789,0.7014700000000008
2582.0,0.7759999999999999,0.6460600000000011
2582.5,0.763,0.6945599999999997
2583.0,0.75,0.69522
2583.5,0.737,0.7361099999999996
2584.0,0.7240000000000001,0.6861399999999991
2584.5,0.711,0.6126099999999993
2585.0,0.6970000000000001,0.6180900000000004
2585.5,0.684,0.6801299999999992
2586.0,0.6709999999999999,0.66526
2586.5,0.6579999999999999,0.6273200000000005
2587.0,0.645,0.6383700000000009
2587.5,0.632,0.6193999999999998
2588.0,0.618,0.5609400000000007
2588.5,0.605,0.5168699999999995
2589.0,0.5920000000000001,0.5535199999999992
2589.5,0.579,0.5520500000000004
2590.0,0.5529999999999999,0.5783699999999993
2590.5,0.539,0.5063900000000003
2591.0,0.526,0.5092400000000006
2591.5,0.513,0.5014099999999998
2592.0,0.5,0.45896999999999993
2592.5,0.48700000000000004,0.45360999999999996
2593.0,0.474,0.4375099999999994
2593.5,0.434,0.38199999999999973
2594.0,0.42100000000000004,0.4010799999999998
2594.5,0.408,0.3952700000000003
2595.0,0.395,0.35242000000000007
2595.5,0.382,0.37384000000000017
2596.0,0.368,0.3585299999999998
2596.5,0.355,0.3521900000000002
2597.0,0.342,0.3533799999999998
2597.5,0.32899999999999996,0.3380800000000002
2598.0,0.316,0.3156999999999998
2598.5,0.303,0.2982300000000003
2599.0,0.289,0.2859900000000004
2599.5,0.276,0.2812199999999998
2600.0,0.263,0.30552000000000057
2600.5,0.25,0.28612000000000004
2601.0,0.22399999999999998,0.27468000000000015
2601.5,0.21100000000000002,0.21532999999999994
2602.0,0.19699999999999998,0.3277799999999997
2602.5,0.184,0.25823000000000007
2603.0,0.171,0.2435699999999999
2603.5,0.158,0.17556999999999992
2604.0,0.145,0.15949999999999978
2604.5,0.132,0.20761000000000002
2605.0,0.11800000000000001,0.2730799999999998
2605.5,0.105,0.2126100000000001
2606.0,0.092,0.16988000000000014
2606.5,0.079,0.20961000000000013
2607.0,0.066,0.1521200000000002
2607.5,0.039,0.13042999999999985
2608.0,0.026000000000000002,0.28058999999999984
2608.5,0.013000000000000001,0.17489000000000007
2609.0,1.0,0.7378499999999998
2609.5,0.977,0.7294799999999995
2610.0,0.955,0.798849999999999
2610.5,0.932,0.7518800000000009
2610.5,1.0,0.8464100000000001
2611.0,0.981,0.9212399999999998
2611.0,0.909,0.7537800000000003
2611.5,0.8859999999999999,0.7645500000000002
2611.5,0.9620000000000001,0.9435700000000011
2612.0,0.8640000000000001,0.6551099999999995
2612.0,0.943,0.9466099999999997
2612.5,0.841,0.6744100000000003
2612.5,0.925,0.9014599999999993
2613.0,0.818,0.6453499999999999
2613.0,0.9059999999999999,0.8773700000000006
2613.5,0.887,0.8728599999999999
2613.5,0.795,0.6699500000000009
2614.0,0.868,0.8495499999999997
2614.0,0.773,0.6618700000000005
2614.5,0.75,0.7255299999999998
2614.5,0.8490000000000001,0.8087999999999995
2615.0,0.727,0.7128499999999991
2615.0,0.83,0.7905799999999996
2615.5,0.8109999999999999,0.7552300000000001
2615.5,0.705,0.6761899999999994
2616.0,0.682,0.6648500000000004
2616.0,0.792,0.7782300000000008
2616.5,0.659,0.5465599999999996
2616.5,0.774,0.7054200000000006
2617.0,0.636,0.5778700000000005
2617.0,0.755,0.6345200000000009
2617.5,0.614,0.5168199999999996
2617.5,0.736,0.6320199999999994
2618.0,0.7170000000000001,0.7045599999999996
2618.0,0.591,0.5883700000000003
2618.5,0.698,0.6581000000000001
2618.5,0.568,0.5172799999999996
2619.0,0.545,0.5261300000000007
2619.0,0.679,0.6390400000000004
2619.5,0.523,0.49372000000000066
2619.5,0.66,0.6303799999999989
2620.0,0.5,0.4193499999999999
2620.0,0.642,0.6483400000000009
2620.5,0.623,0.5028199999999999
2620.5,0.47700000000000004,0.40640999999999955
2621.0,0.604,0.5729399999999994
2621.0,0.455,0.4166999999999992
2621.5,0.43200000000000005,0.3682999999999997
2621.5,0.585,0.5893900000000005
2622.0,0.5660000000000001,0.5767300000000005
2622.0,0.409,0.3573399999999997
2622.5,0.547,0.4942399999999993
2622.5,0.386,0.41471000000000013
2623.0,0.528,0.47827999999999965
2623.0,0.364,0.42929999999999985
2623.5,0.341,0.37745000000000034
2623.5,0.509,0.4327800000000001
2624.0,0.318,0.3596500000000002
2624.0,0.491,0.4778899999999998
2624.5,0.47200000000000003,0.5235700000000004
2624.5,0.295,0.3244500000000003
2625.0,0.273,0.2765499999999998
2625.0,0.45299999999999996,0.5465700000000004
2625.5,0.25,0.28981999999999997
2625.5,0.434,0.4955499999999997
2626.0,0.415,0.4646899999999995
2626.0,0.22699999999999998,0.27795000000000014
2626.5,0.396,0.46779000000000037
2626.5,0.205,0.21941999999999967
2627.0,0.182,0.24259999999999976
2627.0,0.377,0.4198400000000001
2627.5,0.358,0.38289999999999985
2627.5,0.159,0.22836999999999993
2628.0,0.34,0.37977000000000016
2628.0,0.136,0.22927999999999962
2628.5,0.321,0.34359000000000023
2628.5,0.114,0.2066900000000002
2629.0,0.302,0.31926999999999967
2629.0,0.091,0.18347999999999992
2629.5,0.068,0.1959699999999999
2629.5,0.28300000000000003,0.3156800000000004
2630.0,0.045,0.1668500000000002
2630.0,0.264,0.32035999999999976
2630.5,0.023,0.1981699999999998
2630.5,0.245,0.4387599999999997
2631.0,1.0,0.78523
2631.0,0.226,0.25923999999999986
2631.5,0.20800000000000002,0.25125999999999954
2632.0,0.18899999999999997,0.2355099999999999
2632.5,0.955,0.8792799999999993
2632.5,0.17,0.27644000000000035
2633.0,0.9390000000000001,0.9043999999999991
2633.0,0.151,0.27653999999999995
2633.5,0.924,0.8813700000000009
2633.5,0.132,0.22627000000000014
2634.0,0.909,0.8380500000000006
2634.0,0.113,0.21123999999999987
2634.5,0.894,0.7484099999999999
2634.5,0.094,0.17111999999999994
2635.0,0.075,0.13533999999999982
2635.0,0.879,0.7970700000000004
2635.5,0.057,0.1439000000000002
2635.5,0.8640000000000001,0.7417599999999993
2636.0,0.848,0.7468799999999993
2636.0,0.038,0.08887000000000009
2636.5,0.019,0.18346999999999994
2636.5,0.833,0.7266799999999992
2637.0,0.818,0.7041099999999996
2637.0,1.0,0.9019900000000003
2637.5,0.8029999999999999,0.6593299999999993
2637.5,0.985,0.8831399999999995
2638.0,0.97,0.8114399999999995
2638.0,0.7879999999999999,0.6041499999999995
2638.5,0.773,0.7213100000000001
2638.5,0.955,0.899469999999999
2639.0,0.94,0.8777199999999991
2639.0,0.758,0.6771000000000005
2639.5,0.925,0.7964799999999993
2639.5,0.742,0.7058399999999995
2640.0,0.91,0.7988699999999987
2640.0,0.727,0.5775199999999991
2640.5,0.8959999999999999,0.8348900000000004
2640.5,0.7120000000000001,0.6900700000000012
2641.0,0.6970000000000001,0.661570000000001
2641.0,0.8809999999999999,0.8199200000000002
2641.5,0.682,0.6610200000000006
